                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.1172,                 5.9647,                 2.8866,                0.00037,                0.17143,                0.01813,                0.00423,                 2.8105,                 4.2993,                 2.8043,              0.0002352,              0.0002352,              0.0002352
                      2,                 2.6466,                   5.19,                 2.3583,                 0.7296,                0.03308,                0.03651,                0.01463,                 2.3465,                 3.5616,                 2.2104,             0.00045969,             0.00045969,             0.00045969
                      3,                 2.4035,                 4.5764,                 2.1391,                0.46667,                0.08656,                 0.0682,                0.02624,                  2.211,                  3.173,                 2.1319,              0.0006706,              0.0006706,              0.0006706
                      4,                 2.2185,                 4.1024,                 1.9901,                0.41172,                0.19685,                0.09397,                0.04826,                 2.0834,                 3.0232,                 2.0067,             0.00065286,             0.00065286,             0.00065286
                      5,                 2.1633,                 3.7343,                  1.958,                0.72107,                0.11363,                0.13704,                0.06398,                  2.063,                 2.8582,                 1.9801,             0.00063248,             0.00063248,             0.00063248
                      6,                 2.0819,                 3.5094,                  1.874,                0.60492,                0.14641,                0.19845,                0.08675,                 2.0335,                 2.6392,                 1.9861,              0.0006121,              0.0006121,              0.0006121
                      7,                  2.038,                 3.2435,                 1.8417,                0.50995,                0.19652,                0.18463,                0.09777,                 2.0309,                 2.4948,                 1.9261,             0.00059172,             0.00059172,             0.00059172
                      8,                 1.9962,                 3.1247,                 1.8236,                0.56856,                 0.2226,                0.16518,                0.08327,                 2.0648,                  2.632,                 1.9439,             0.00057134,             0.00057134,             0.00057134
                      9,                 1.9325,                 2.8568,                 1.7622,                0.85344,                0.21566,                0.25326,                0.13175,                  2.017,                 2.3497,                 1.9231,             0.00055096,             0.00055096,             0.00055096
                     10,                 1.9168,                 2.7653,                 1.7316,                0.71674,                0.18591,                0.25651,                 0.1354,                 2.0121,                 2.2799,                 1.8609,             0.00053058,             0.00053058,             0.00053058
